symbol,name,industry,sector,market_cap,exchange
VJTFEDU,VJTF Eduservices Limited,Unknown,Unknown,1825120000,BSE
VOLLF,Voltaire Leasing & Finance Limited,Unknown,Unknown,61399380,BSE
NETLINK,Netlink Solutions (India) Limited,Unknown,Unknown,400628448,BSE
TRILIANCE,Unknown,Unknown,Unknown,0,BSE
LANCORHOL,Lancor Holdings Limited,Real Estate—Development,Real Estate,3105232896,BSE
INDINFO,Indian Infotech and Software Limited,Unknown,Unknown,1404816000,BSE
BANASFN,Banas Finance Limited,Unknown,Unknown,121268160,BSE
VISAKAIND,Visaka Industries Limited,Building Products & Equipment,Industrials,9128667136,BSE
INFOMEDIA,Infomedia Press Limited,Shell Companies,Financial Services,458273056,BSE
HATHWAYB,Hathway Bhawani Cabletel & Datacom Limited,Unknown,Unknown,154304992,BSE
GUFICBIO,Gufic Biosciences Limited,Drug Manufacturers—Specialty & Generic,Healthcare,38291152896,BSE
PHOTON,Photon Capital Advisors Limited,Unknown,Unknown,139259488,BSE
GRPLTD,GRP Limited,Auto Parts,Consumer Cyclical,17578655744,BSE
INDAG,Indag Rubber Limited,Unknown,Unknown,5719875072,BSE
MMRUBBR-B,M M Rubber Company Limited,Unknown,Unknown,589024000,BSE
PTL,PTL Enterprises Limited,Real Estate Services,Real Estate,5872243712,BSE
TVSSRICHAK,TVS Srichakra Limited,Auto Parts,Consumer Cyclical,32300498944,BSE
SEL,Sanathnagar Enterprises Limited,Unknown,Unknown,125086496,BSE
BENARAS,Benares Hotels Limited,Unknown,Unknown,10474749952,BSE
BHAGWOX,Bhagawati Oxygen Limited,Unknown,Unknown,137321024,BSE
BOMOXY-B1,Bombay Oxygen Investments Limited,Unknown,Unknown,5069700096,BSE
CRAVATEX,Cravatex Limited,Unknown,Unknown,1276704256,BSE
BERGEPAINT,Berger Paints India Limited,Specialty Chemicals,Basic Materials,723612008448,BSE
CAPRIHANS,Caprihans India Limited,Unknown,Unknown,1838759936,BSE
GRAPHITE,Graphite India Limited,Electrical Equipment & Parts,Industrials,117499133952,BSE
ITDCEM,ITD Cementation India Limited,Engineering & Construction,Industrials,92250152960,BSE
EMPIND,Empire Industries Limited,Unknown,Unknown,6722400256,BSE
GRAVISSHO,Graviss Hospitality Limited,Unknown,Unknown,3646612480,BSE
GARFIBRES,Garware Technical Fibres Limited,Textile Manufacturing,Consumer Cyclical,80230752256,BSE
GARWAMAR,Garware Marine Industries Limited,Unknown,Unknown,263341424,BSE
GOACARBON,Goa Carbon Limited,Specialty Chemicals,Basic Materials,7580729856,BSE
HARDCAS,Hardcastle and Waud Manufacturing Company Limited,Unknown,Unknown,748712448,BSE
HEG,HEG Limited,Electrical Equipment & Parts,Industrials,94462484480,BSE
HINDCOMPOS,Hindustan Composites Limited,Auto Parts,Consumer Cyclical,8404299264,BSE
ZHINDHSG,Unknown,Unknown,Unknown,0,BSE
HIL,HIL Limited,Building Products & Equipment,Industrials,22468112384,BSE
INDIANCARD,The Indian Card Clothing Company Limited,Textile Manufacturing,Consumer Cyclical,1624896256,BSE
INTLCONV,International Conveyors Limited,Specialty Industrial Machinery,Industrials,6427897856,BSE
JAYSREETEA,Unknown,Farm Products,Consumer Defensive,4551094272,BSE
KOTIC,Unknown,Unknown,Unknown,0,BSE
MODRNSH,Modern Shares & Stockbrokers Limited,Unknown,Unknown,0,BSE
OSEASPR,Unknown,Unknown,Unknown,0,BSE
HUHTAMAKI,Huhtamaki India Limited,Packaging & Containers,Consumer Cyclical,29389348864,BSE
PREMSYN,Premier Synthetics Limited,Unknown,Unknown,114095088,BSE
RJSHAH,Unknown,Unknown,Unknown,0,BSE
SHAHCON,Unknown,Unknown,Unknown,0,BSE
SHALPAINTS,Shalimar Paints Limited,Specialty Chemicals,Basic Materials,11589815296,BSE
SINNAR,Sinnar Bidi Udyog Limited,Unknown,Unknown,0,BSE
HINDMILL,Hindoostan Mills Limited,Unknown,Unknown,346808992,BSE
ZSOUTGAS,Unknown,Unknown,Unknown,0,BSE
TECHCON,Unknown,Unknown,Unknown,0,BSE
SUPREMEIND,The Supreme Industries Limited,Building Products & Equipment,Industrials,685380534272,BSE
THACKER,Thacker and Company Limited,Unknown,Unknown,1345509632,BSE
UPHOT,Unknown,Unknown,Unknown,0,BSE
VSTIND,VST Industries Limited,Tobacco,Consumer Defensive,63350116352,BSE
SWASTIVI,Swasti Vinayaka Synthetics Limited,Unknown,Unknown,553000000,BSE
MADHUSE,Madhusudan Securities Limited,Unknown,Unknown,0,BSE
